,Canonical URL,RSD Name,Author,Skill Statement,Category,Keywords,Standards,Certifications,Occupation Major Groups,Occupation Minor Groups,Broad Occupations,Detailed Occupations,O*Net Job Codes,Employers,Alignment Name,Alignment URL,Alignment Framework
10,https://osmt.wgu.edu/api/skills/8e654815-5822-48ab-8e44-249768941123,Re-evaluate a Point of View,Western Governors University,Re-evaluate a point of view based on new information.,Critical Thinking,Critical Thinking; Social Emotional Learning (SEL): General; Social Emotional Learning (SEL): Executive Function & Responsible Decision Making; new information; re-evaluate point of view; WGUSID: 12228; Healthy Learning Strategies; TC Disposition 5,,,15-0000,15-1200,15-1250,15-1251,,,Critical Thinking,https://skills.emsidata.com/skills/KS122J56PZMMFL1SVY1F,
11,https://osmt.wgu.edu/api/skills/f6af9188-503f-42e8-aefc-19277f5abfe0,Collaborate to Solve Challenges,Western Governors University,Collaborate with a team to solve challenging issues.,Problem Solving,Problem Solving; Troubleshooting (Problem Solving); Social Emotional Learning (SEL): General; Social Emotional Learning (SEL): Executive Function & Responsible Decision Making; WGUSID: 941,,,15-0000; 19-0000; 33-0000,15-1200; 15-2000; 19-4000; 33-1000; 33-3000,15-1210; 15-1220; 15-1230; 15-1240; 15-1250; 15-1290; 15-2030; 15-2090; 19-4090; 33-1010; 33-3010; 33-3020; 33-3050,15-1211; 15-1221; 15-1231; 15-1232; 15-1241; 15-1244; 15-1245; 15-1251; 15-1256; 15-1257; 15-1259; 15-2031,,,Problem Solving,https://skills.emsidata.com/skills/KS125F678LV2KB3Z5XW0,
12,https://osmt.wgu.edu/api/skills/c4e7485b-a121-4d7c-b7f5-db88ac220c90,Create a Goal Plan,Western Governors University,Create a plan to achieve identified goals.,Planning,Planning; Social Emotional Learning (SEL): General; Social Emotional Learning (SEL): Executive Function & Responsible Decision Making; goals; WGUSID: 10714,NICE_SP_RSK; NICE_SP_DEV; NICE_SP_ARC; NICE_SP_TRD; NICE_SP_SRP; NICE_SP_TST; NICE_SP_SYS; NICE_OV_MGT; NICE_AN_TWA; NICE_AN_EXP; NICE_AN_ASA; NICE_AN_TGT; NICE_AN_LNG; NICE_CO_CLO; NICE_CO_OPL; NICE_CO_OPS; NICE_OV_PMA; NICE_OM_ANA; NICE_PR_CIR; NICE_IN_FOR; NICE_PR_CDA; NICE_PR_VAM; NICE_PR_INF; NICE_OV_EXL,AZ-304,15-0000,15-1200,15-1210; 15-1230; 15-1240; 15-1250; 15-1290,15-1211; 15-1231; 15-1244; 15-1245; 15-1251; 15-1256; 15-1257; 15-1259,,,Planning,https://skills.emsidata.com/skills/ESEB1D4619E6E83A061D,
13,https://osmt.wgu.edu/api/skills/4919a0e2-c109-4b44-8cdb-923bac28190f,Evaluate Results Against Predetermined Goals,Western Governors University,Evaluate results to determine if a plan achieved the identified goals.,Planning,Planning; Social Emotional Learning (SEL): General; Social Emotional Learning (SEL): Executive Function & Responsible Decision Making; goals; WGUSID: 10716,NICE_SP_RSK; NICE_SP_DEV; NICE_SP_ARC; NICE_SP_TRD; NICE_SP_SRP; NICE_SP_TST; NICE_SP_SYS; NICE_OV_MGT; NICE_AN_TWA; NICE_AN_EXP; NICE_AN_ASA; NICE_AN_TGT; NICE_AN_LNG; NICE_CO_CLO; NICE_CO_OPL; NICE_CO_OPS; NICE_OV_PMA; NICE_OM_ANA; NICE_PR_CIR; NICE_IN_FOR; NICE_PR_CDA; NICE_PR_VAM; NICE_PR_INF; NICE_OV_EXL,AZ-304,11-0000; 15-0000,11-9000; 15-1200,11-9030; 15-1210; 15-1230; 15-1240; 15-1250; 15-1290,11-9033; 11-9039; 15-1211; 15-1231; 15-1244; 15-1245; 15-1251; 15-1256; 15-1257; 15-1259,,,Planning,https://skills.emsidata.com/skills/ESEB1D4619E6E83A061D,
14,https://osmt.wgu.edu/api/skills/269c16ee-47b2-441e-a885-43db6d13dbb9,Implement a Plan,Western Governors University,Implement a plan to achieve identified goals.,Planning,Planning; Social Emotional Learning (SEL): General; Social Emotional Learning (SEL): Executive Function & Responsible Decision Making; goals; WGUSID: 10715,NICE_SP_RSK; NICE_SP_DEV; NICE_SP_ARC; NICE_SP_TRD; NICE_SP_SRP; NICE_SP_TST; NICE_SP_SYS; NICE_OV_MGT; NICE_AN_TWA; NICE_AN_EXP; NICE_AN_ASA; NICE_AN_TGT; NICE_AN_LNG; NICE_CO_CLO; NICE_CO_OPL; NICE_CO_OPS; NICE_OV_PMA; NICE_OM_ANA; NICE_PR_CIR; NICE_IN_FOR; NICE_PR_CDA; NICE_PR_VAM; NICE_PR_INF; NICE_OV_EXL,AZ-304,15-0000,15-1200,15-1210; 15-1230; 15-1240; 15-1250; 15-1290,15-1211; 15-1231; 15-1244; 15-1245; 15-1251; 15-1256; 15-1257; 15-1259,,,Planning,https://skills.emsidata.com/skills/ESEB1D4619E6E83A061D,
15,https://osmt.wgu.edu/api/skills/8c76faa3-2674-4a40-9cee-8d1e0b37ae91,Organize Project into Daily Tasks,Western Governors University,Organize each project into daily tasks.,Organizational Skills,Organizational Skills; Social Emotional Learning (SEL): General; Social Emotional Learning (SEL): Executive Function & Responsible Decision Making; WGUSID: 10700,,,15-0000,15-1200,15-1210; 15-1230; 15-1240; 15-1250; 15-1290,15-1211; 15-1232; 15-1241; 15-1244; 15-1245; 15-1251; 15-1256; 15-1257; 15-1259,,,Organizational Skills,https://skills.emsidata.com/skills/ES8B03DAD3B526316ED9,
16,https://osmt.wgu.edu/api/skills/92b66632-8fb5-4e91-afed-a9c0a6293935,Track Task Deadlines,Western Governors University,Track deadlines with a task schedule.,Organizational Skills,Organizational Skills; Social Emotional Learning (SEL): General; Social Emotional Learning (SEL): Executive Function & Responsible Decision Making; WGUSID: 10701,,,15-0000,15-1200,15-1210; 15-1250; 15-1290,15-1211; 15-1251; 15-1256; 15-1257; 15-1259,,,Organizational Skills,https://skills.emsidata.com/skills/ES8B03DAD3B526316ED9,
17,https://osmt.wgu.edu/api/skills/43418b8f-476c-4ff5-acac-4fe2e5d356be,Schedule Due Dates,Western Governors University,Schedule due dates for task completion.,Organizational Skills,Organizational Skills; Social Emotional Learning (SEL): General; Social Emotional Learning (SEL): Executive Function & Responsible Decision Making; task schedule; due dates; WGUSID: 12330,,,15-0000,15-1200,15-1250,15-1251,,,Organizational Skills,https://skills.emsidata.com/skills/ES8B03DAD3B526316ED9,
18,https://osmt.wgu.edu/api/skills/6314c999-cd7c-4fdc-8103-9d2448237a41,Define Productivity Processes,Western Governors University,Define processes to facilitate the productivity of multiple people.,Teamwork,Team Oriented; Teamwork; Team Building; Team Management; Social Emotional Learning (SEL): General; Social Emotional Learning (SEL): Interpersonal Communication; WGUSID: 1825,NICE_SP_RSK; NICE_SP_DEV; NICE_SP_ARC; NICE_SP_TRD; NICE_SP_SRP; NICE_SP_TST; NICE_SP_SYS; NICE_OV_MGT; NICE_AN_TWA; NICE_AN_EXP; NICE_AN_ASA; NICE_AN_TGT; NICE_AN_LNG; NICE_CO_CLO; NICE_CO_OPL; NICE_CO_OPS; NICE_OV_PMA; NICE_OM_ANA; NICE_OM_NET; NICE_OM_ADM; NICE_OV_SPP; NICE_OV_EXL; NICE_OV_LGA; NICE_OV_TEA; NICE_OM_DTA; NICE_OM_STS,,15-0000; 33-0000,15-1200; 15-2000; 33-1000; 33-3000,15-1220; 15-1240; 15-1250; 15-2030; 15-2090; 33-1010; 33-3020; 33-3050,15-1221; 15-1251; 15-1256; 15-1257; 15-2031,,,Teamwork,https://skills.emsidata.com/skills/KSKJX44T33B6D4UCC8CB,
19,https://osmt.wgu.edu/api/skills/c940edd3-422d-4ab9-83f8-029be1136c91,Work with a Team,Western Governors University,Work with team members to complete goals.,Teamwork,Teamwork; Social Emotional Learning (SEL): General; Social Emotional Learning (SEL): Interpersonal Communication; WGUSID: 10824,,,15-0000,15-1200,15-1230; 15-1240; 15-1250; 15-1290,15-1231; 15-1241; 15-1244; 15-1245; 15-1251; 15-1256; 15-1257; 15-1259,,,Teamwork,https://skills.emsidata.com/skills/KSKJX44T33B6D4UCC8CB,
20,https://osmt.wgu.edu/api/skills/699f5f60-2ab8-418f-a8eb-162d789dc7ea,Implement Teamwork-Fostering Processes,Western Governors University,Implement tools and processes to foster teamwork and collaboration toward achieving shared goals.,Teamwork,Team Oriented; Teamwork; Team Building; Team Management; Social Emotional Learning (SEL): General; Social Emotional Learning (SEL): Interpersonal Communication; WGUSID: 4381,NICE_SP_RSK; NICE_SP_DEV; NICE_SP_ARC; NICE_SP_TRD; NICE_SP_SRP; NICE_SP_TST; NICE_SP_SYS; NICE_OV_MGT; NICE_AN_TWA; NICE_AN_EXP; NICE_AN_ASA; NICE_AN_TGT; NICE_AN_LNG; NICE_CO_CLO; NICE_CO_OPL; NICE_CO_OPS; NICE_OV_PMA; NICE_OM_ANA; NICE_OM_NET; NICE_OM_ADM; NICE_OV_SPP; NICE_OV_EXL; NICE_OV_LGA; NICE_OV_TEA; NICE_OM_DTA; NICE_OM_STS,,11-0000; 15-0000; 33-0000,11-9000; 15-1200; 15-2000; 33-1000; 33-3000,11-9030; 15-1220; 15-1240; 15-1250; 15-2030; 15-2090; 33-1010; 33-3020; 33-3050,11-9033; 11-9039; 15-1221; 15-1251; 15-1256; 15-1257; 15-2031,,,Teamwork,https://skills.emsidata.com/skills/KSKJX44T33B6D4UCC8CB,
21,https://osmt.wgu.edu/api/skills/61bfc0fc-b07e-412b-a74b-e2e78a42bb0e,Technology Assessment,Western Governors University,Assess business requirements and priorities to determine needed changes to technology.,Business Requirements,Business Requirements; WGUSID: 666,,AZ-303; AZ-304; AZ-900; AZ-204; AZ DP-203,15-0000,15-1200; 15-2000,15-1210; 15-1240; 15-1250; 15-1290; 15-2030; 15-2090,15-1241; 15-1244; 15-1245; 15-1251; 15-1256; 15-1257; 15-1259; 15-2031,,,Business Requirements,https://skills.emsidata.com/skills/KS1219863VWXPRZL5LG2,
22,https://osmt.wgu.edu/api/skills/c640a66d-33a9-42a1-b3b3-0ea5a38b96be,Define Data to be Organized,Western Governors University,Define data that needs to be organized.,Data Structures,Data Structures; WGUSID: 1812,,,15-0000,15-1200; 15-2000,15-1220; 15-1250; 15-2050,15-1221; 15-1251; 15-1252; 15-1253; 15-1254; 15-1255; 15-2051,,,Data Structures,https://skills.emsidata.com/skills/KS122Q26BWQ1PK3Y74C0,
23,https://osmt.wgu.edu/api/skills/b73da16b-93f3-48f3-8790-64adda366754,Usage Data Structure Creation,Western Governors University,Create a data structure that is based on usage.,Data Structures,Data Structures; WGUSID: 1599,,,15-0000,15-1200; 15-2000,15-1220; 15-1250; 15-2090,15-1221; 15-1251; 15-1256; 15-1257,,,Data Structures,https://skills.emsidata.com/skills/KS122Q26BWQ1PK3Y74C0,
24,https://osmt.wgu.edu/api/skills/32e324a9-925e-4f62-ba94-ceefc1b442c4,"Strengths, Weaknesses, Opportunities, and Threats (SWOT) Diagram Completion",Western Governors University,"Complete a strengths, weaknesses, opportunities, and threats (SWOT) diagram for assessing choices.",Decision Making,Decision Making; SWOT; WGUSID: 12237,,,15-0000,15-1200,15-1250,15-1251,,,Decision Making,https://skills.emsidata.com/skills/KS121W46CJXQ5ZQ506MS,
25,https://osmt.wgu.edu/api/skills/cf221da1-8ddc-43f5-a8c9-1eaf913c3f30,Awareness of Harmful Practices,Western Governors University,Raise awareness of harmful practices.,Ethical Responsibility,Professional_Ethics; Doing; Professional Responsibility; Ethical Responsibility; Moral Reasoning; WGUSID: 5847,NICE_SP_RSK; NICE_OV_MGT; NICE_AN_LNG,,15-0000,15-1200; 15-2000,15-1220; 15-1250; 15-2030; 15-2050,15-1221; 15-1251; 15-1252; 15-1253; 15-1254; 15-1255; 15-2031; 15-2051,,,Ethical Responsibility,https://skills.emsidata.com/skills/ES5A003FAA998F6C51DE,
26,https://osmt.wgu.edu/api/skills/a75aba8f-7eb5-4151-9ac5-f79a23af288c,Areas for Improved Efficiency Identification,Western Governors University,Identify areas for improved efficiency.,Operations Management,Operations; Management; Operations Management; WGUSID: 3665,InTASC_3a; InTASC_3i; InTASC_3n; InTASC_4g; InTASC_8n; ISTE_EdLeaders_2c; ISTE_Educators_7b; InTASC_3b; InTASC_3e; InTASC_3f; InTASC_3h; InTASC_3l; InTASC_3o; InTASC_5d; InTASC_6o; InTASC_6s; InTASC_3c,,11-0000; 15-0000; 25-0000,11-9000; 15-1200; 15-2000,11-9030; 15-1250; 15-2030,11-9033; 11-9039; 15-1251; 15-1256; 15-1257; 15-2031,,,Operations Management,https://skills.emsidata.com/skills/KS127CS79GV081FMJYKZ,
27,https://osmt.wgu.edu/api/skills/5aba841b-67db-4685-b002-58134ee50414,Penetration Testing Solutions Development,Western Governors University,Develop penetration testing solutions.,Penetration Testing,Missing; Kali Linux; Penetration Testing; WGUSID: 2553,NICE_SP_RSK; NICE_SP_ARC; NICE_SP_TST; NICE_SP_SYS; NICE_AN_EXP; NICE_AN_TGT; NICE_AN_LNG; NICE_OM_ANA; NICE_OM_NET; NICE_OM_ADM; NICE_PR_VAM; NICE_CO_OPLNICE_CO_OPS,,15-0000,15-1200,15-1210; 15-1220; 15-1250,15-1251; 15-1256; 15-1257,,,Penetration Testing,https://skills.emsidata.com/skills/KS120L66RV21DTVBSWX3,
28,https://osmt.wgu.edu/api/skills/fe9c9809-9f5f-47ed-83be-cd0159c12ace,Develop Performance Evaluation Plans,Western Governors University,Develop a plan for implementing performance evaluation techniques.,Performance Management,GeneralEducation2019; TC-ProfessionalCore2019; Health_Open_Skills; Performance Management; WGUSID: 2343.1,InTASC_3a; InTASC_3i; InTASC_3n; InTASC_4g; InTASC_8n; InTASC_3b; InTASC_3e; InTASC_3f; InTASC_3h; InTASC_3l; InTASC_3o; InTASC_5d; InTASC_6o; InTASC_6s; ISTE_Educators_5a; ISTE_Educators_5b; ISTE_Educators_5c; InTASC_3c; ISTE_EdLeaders_4a; NLN_Academic_Nurse_5g; CPHQ_Org_Leadership_C3; CPHQ_Org_Leadership_C1,,11-0000; 13-0000; 15-0000; 17-0000; 19-0000; 21-0000; 25-0000; 29-0000,11-3000; 13-1000; 13-2000; 15-1200; 15-2000; 17-2000; 17-3000; 21-1000; 25-1000; 29-1000,11-3030; 13-1110; 13-1160; 13-2010; 13-2040; 15-1230; 15-1250; 15-2030; 17-2080; 17-2110; 17-2190; 17-3020; 21-1090; 25-1010; 25-1020; 25-1040; 25-1050; 25-1060; 25-1070; 25-1080; 25-1120; 29-1140,11-3031; 13-1111; 13-1161; 13-2011; 13-2041; 15-1232; 15-1251; 15-1256; 15-1257; 15-2031; 21-1094; 29-1141,,,Performance Management,https://skills.emsidata.com/skills/KS123HX6YG0PPBXV3922,
29,https://osmt.wgu.edu/api/skills/cfc82290-7de7-451c-99e0-d37cff26df6f,Process Design Participation,Western Governors University,Participate in process design and redesign projects to increase process efficiency and effectiveness.,Process Design,Process Design; WGUSID: 5333,ISTE_Educators_7c; InTASC_3a; InTASC_3i; InTASC_4g; InTASC_8n; ISTE_Educators_7b; InTASC_3b; InTASC_3e; InTASC_3f; InTASC_3h; InTASC_3l; InTASC_3o; InTASC_5d; InTASC_3q; InTASC_6o; InTASC_6s; ISTE_Educators_5a; ISTE_Educators_5b; ISTE_Educators_5c; ISTE_EdLeaders_5b; CNL_Competencies_3.3; CAHIMS_HISM_A3; ACHE_5A1; CNL_Competencies_3.10; AHIMA_AHIC_T302; CPHQ_Performance_and_Process_Improvement_A3; CAHIMS_HISM_D3; AHIMA_AHIC_K044; ANCC_Informatics_Certification_II.B.3; AONL_Competency_2B5,,11-0000; 13-0000; 15-0000; 17-0000; 19-0000; 21-0000; 25-0000; 29-0000,11-3000; 13-1000; 13-2000; 15-1200; 15-2000; 17-2000; 17-3000; 21-1000; 25-1000; 29-1000,11-3030; 13-1110; 13-1160; 13-2010; 13-2040; 15-1230; 15-1250; 15-2030; 17-2080; 17-2110; 17-2190; 17-3020; 21-1090; 25-1010; 25-1020; 25-1040; 25-1050; 25-1060; 25-1070; 25-1080; 25-1120; 29-1140,11-3031; 13-1111; 13-1161; 13-2011; 13-2041; 15-1232; 15-1251; 15-1256; 15-1257; 15-2031; 21-1094; 29-1141,,,Process Design,https://skills.emsidata.com/skills/KS1281Z6YSCYDNCG1D8T,
30,https://osmt.wgu.edu/api/skills/894700af-3fc3-4c9e-89d1-781b441d52fe,Software Development Standards Development,Western Governors University,Develop software development standards for release readiness.,Software Development Life Cycle,Software Development Life Cycle; WGUSID: 2550,,,15-0000,15-1200,15-1220; 15-1250; 15-1290,15-1221; 15-1251; 15-1256; 15-1257; 15-1259,,,Software Development Life Cycle,https://skills.emsidata.com/skills/KS122W760S3H5X5HNC91,
